"id","mode","exam_alignment","jft_section","skill_category","scenario","japanese","kana","romaji","indonesian","english","production_prompt_id","production_prompt_en","example","usage_note","review_status","japanese_review","indonesian_review","keep_or_fix","review_comment"
"id-stage1b-0013","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word usage","Transport / route","乗り換え","のりかえ","norikae","ganti kereta/bus; pindah transit","transfer; change trains/buses","N/A - recognition card","N/A - recognition card","新宿駅で乗り換えます。","Helps with commuting and transport announcements.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0014","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word usage","Health / medicine","一日三回","いちにちさんかい","ichinichi sankai","tiga kali sehari","three times a day","N/A - recognition card","N/A - recognition card","この薬は一日三回です。","Practical for medicine instructions and health situations.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0015","Production","JFT-Basic / SSW work-life","Conversation and Expression","Expression in context","Clarification / workplace","もう一度お願いします。","もういちどおねがいします。","mo ichido onegai shimasu","Tolong sekali lagi.","One more time, please.","Instruksi kurang terdengar. Minta orang mengulang dengan sopan.","You did not hear the instruction well. Politely ask them to repeat.","すみません、もう一度お願いします。","A safe repair phrase when listening breaks down.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0016","Production","JFT-Basic / SSW work-life","Conversation and Expression","Expression in context","Clarification / daily life","すみません、まだわかりません。","すみません、まだわかりません。","sumimasen, mada wakarimasen","Maaf, saya masih belum mengerti.","Sorry, I still do not understand.","Kamu masih belum paham. Katakan dengan sopan.","You still do not understand. Say it politely.","すみません、説明がまだわかりません。","Helps learners avoid pretending they understand important information.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0017","Production","JFT-Basic / SSW work-life","Conversation and Expression","Polite request","Clarification / listening","少しゆっくり話してください。","すこしゆっくりはなしてください。","sukoshi yukkuri hanashite kudasai","Tolong bicara sedikit lebih pelan.","Please speak a little more slowly.","Minta orang bicara sedikit lebih pelan.","Ask someone to speak a little more slowly.","もう少しゆっくり話してください。","Useful for workplaces, offices, clinics, and public counters.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0018","Production","JFT-Basic / SSW work-life","Conversation and Expression","Polite request","Workplace schedule","今日は少し早く帰ってもいいですか。","きょうはすこしはやくかえってもいいですか。","kyo wa sukoshi hayaku kaette mo ii desu ka","Apakah saya boleh pulang sedikit lebih awal hari ini?","May I leave a little early today?","Minta izin pulang sedikit lebih awal hari ini.","Ask permission to leave a little early today.","体調が悪いので、早く帰ってもいいですか。","A simple permission pattern for schedule problems.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0019","Production","JFT-Basic / SSW work-life","Conversation and Expression","Polite request","Workplace checking","ここを確認していただけますか。","ここをかくにんしていただけますか。","koko o kakunin shite itadakemasu ka","Bisakah Anda memeriksa bagian ini?","Could you check this part?","Minta atasan memeriksa bagian ini.","Ask a supervisor to check this part.","この書類を確認していただけますか。","Polite but still short enough for early workplace use.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0020","Production","JFT-Basic / SSW work-life","Conversation and Expression","Polite request","City office / forms","書き方を教えていただけますか。","かきかたをおしえていただけますか。","kakikata o oshiete itadakemasu ka","Bisakah Anda mengajari cara mengisinya/menulisnya?","Could you show me how to write/fill this in?","Minta bantuan cara mengisi atau menulis formulir.","Ask for help with how to fill in or write a form.","この申請書の書き方を教えていただけますか。","Good for city office, clinic, and agency forms.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0021","Production","JFT-Basic / SSW work-life","Conversation and Expression","Workplace instruction","Workplace / location","これはどこに置きますか。","これはどこにおきますか。","kore wa doko ni okimasu ka","Ini diletakkan di mana?","Where should I put this?","Tanya di mana harus meletakkan barang ini.","Ask where you should put this item.","この箱はどこに置きますか。","Broadly useful across work fields without field-specific jargon.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0022","Production","JFT-Basic / SSW work-life","Conversation and Expression","Reporting problem","Transport / lateness","電車が遅れているので、10分ほど遅れます。","でんしゃがおくれているので、じゅっぷんほどおくれます。","densha ga okurete iru node, juppun hodo okuremasu","Kereta terlambat, jadi saya akan terlambat sekitar 10 menit.","The train is delayed, so I will be about 10 minutes late.","Laporkan kamu akan terlambat sekitar 10 menit karena kereta.","Report that you will be about 10 minutes late because of the train.","バスが遅れて、少し遅れます。","Uses 10分 instead of 十分 so beginners do not confuse it with じゅうぶん.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0023","Production","JFT-Basic / SSW work-life","Conversation and Expression","Reporting problem","Health / absence","熱があるので、今日は休ませてください。","ねつがあるので、きょうはやすませてください。","netsu ga aru node, kyo wa yasumasete kudasai","Saya demam, jadi mohon izin tidak masuk hari ini.","I have a fever, so please let me take today off.","Minta izin tidak masuk hari ini karena demam.","Ask for permission to take today off because of a fever.","今日は熱があります。休ませてください。","More workplace-natural than a one-sided 休みます statement.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0024","Production","JFT-Basic / SSW work-life","Conversation and Expression","Reporting problem","Workplace equipment","機械の音がいつもと違います。確認をお願いします。","きかいのおとがいつもとちがいます。かくにんをおねがいします。","kikai no oto ga itsumo to chigaimasu. kakunin o onegai shimasu","Suara mesin berbeda dari biasanya. Mohon diperiksa.","The machine sound is different from usual. Please check it.","Laporkan suara mesin aneh dan minta pemeriksaan.","Report that the machine sounds unusual and ask for a check.","機械の音が変です。","Safety-oriented reporting without specialized machinery vocabulary.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0025","Production","JFT-Basic / SSW work-life","Conversation and Expression","Schedule confirmation","Shift / time","明日のシフトは何時からですか。","あしたのシフトはなんじからですか。","ashita no shifuto wa nanji kara desu ka","Shift besok mulai jam berapa?","What time does tomorrow's shift start?","Tanya shift besok mulai jam berapa.","Ask what time tomorrow's shift starts.","明日は8時からですか。","Directly useful for avoiding shift mistakes.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0026","Production","JFT-Basic / SSW work-life","Conversation and Expression","Schedule confirmation","Break / time","休憩は何時までですか。","きゅうけいはなんじまでですか。","kyukei wa nanji made desu ka","Istirahat sampai jam berapa?","Until what time is the break?","Tanya istirahat sampai jam berapa.","Ask until what time the break lasts.","休憩は1時までですか。","Reinforces time and workplace break language.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0027","Production","JFT-Basic / SSW work-life","Conversation and Expression","Apology / repair","Workplace mistake","すみません、私のミスです。","すみません、わたしのミスです。","sumimasen, watashi no misu desu","Maaf, ini kesalahan saya.","Sorry, this is my mistake.","Minta maaf dan akui itu kesalahanmu.","Apologize and say it was your mistake.","すみません、私のミスでした。","Simple repair phrase; native review should tune tone for workplace context.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0028","Production","JFT-Basic / SSW work-life","Conversation and Expression","Reporting completion","Workplace task","作業が終わりました。次は何をしますか。","さぎょうがおわりました。つぎはなにをしますか。","sagyo ga owarimashita. tsugi wa nani o shimasu ka","Pekerjaannya sudah selesai. Berikutnya saya harus apa?","The task is finished. What should I do next?","Katakan pekerjaan selesai dan tanya langkah berikutnya.","Say the task is finished and ask what to do next.","そうじが終わりました。","Strong work-survival phrase that encourages productive follow-up.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0029","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Workplace instruction","Safety / hygiene","まず手を洗って、それから手袋をしてください。","まずてをあらって、それからてぶくろをしてください。","mazu te o aratte, sore kara tebukuro o shite kudasai","Pertama cuci tangan, lalu pakai sarung tangan.","First wash your hands, then put on gloves.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Later audio can train sequence words like mazu and sore kara.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0030","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Sequence comprehension","Workplace task","この箱を棚に置いてから、事務所に来てください。","このはこをたなにおいてから、じむしょにきてください。","kono hako o tana ni oite kara, jimusho ni kite kudasai","Taruh kotak ini di rak, lalu datang ke kantor.","Put this box on the shelf, then come to the office.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Trains order of actions in simple workplace language.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0031","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Item comprehension","Documents / onboarding","明日は印鑑と在留カードを持ってきてください。","あしたはいんかんとざいりゅうカードをもってきてください。","ashita wa inkan to zairyu kaado o motte kite kudasai","Besok bawa stempel pribadi dan kartu izin tinggal.","Please bring your personal seal and residence card tomorrow.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Native/human review should confirm whether inkan is target-relevant for current contexts.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0032","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Safety instruction","Safety / restricted area","ここは入らないでください。危ないです。","ここははいらないでください。あぶないです。","koko wa hairanaide kudasai. abunai desu","Jangan masuk ke sini. Berbahaya.","Please do not enter here. It is dangerous.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Safety listening card for restricted spaces.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0033","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Public-place interaction","Shopping / service","袋は必要ですか。","ふくろはひつようですか。","fukuro wa hitsuyo desu ka","Apakah perlu kantong?","Do you need a bag?","N/A - listening-ready card","N/A - listening-ready card","レジで「袋は必要ですか」と聞かれます。","Everyday staff question; app can later add audio and a situation prompt.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0034","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Announcement comprehension","Transport / delay","三番線の電車は5分遅れています。","さんばんせんのでんしゃはごふんおくれています。","sanbansen no densha wa gofun okurete imasu","Kereta di jalur 3 terlambat 5 menit.","The train on platform/track 3 is 5 minutes late.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Commuting delays connect listening practice with work attendance.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0035","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Announcement comprehension","City office / counter","受付番号25番の方は、2番窓口へどうぞ。","うけつけばんごうにじゅうごばんのかたは、にばんまどぐちへどうぞ。","uketsuke bango nijugo-ban no kata wa, niban madoguchi e dozo","Nomor antrean 25, silakan ke loket 2.","Number 25, please go to counter 2.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Trains numbers and counter directions for offices/clinics.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0036","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Emergency instruction","Disaster / drill","地震の訓練です。机の下に入ってください。","じしんのくんれんです。つくえのしたにはいってください。","jishin no kunren desu. tsukue no shita ni haitte kudasai","Ini latihan gempa. Masuklah ke bawah meja.","This is an earthquake drill. Get under the desk.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Japan-life safety and workplace drill language.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0037","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Schedule change","Workplace / meeting","今日の会議は午後3時に変わりました。","きょうのかいぎはごごさんじにかわりました。","kyo no kaigi wa gogo sanji ni kawarimashita","Rapat hari ini berubah menjadi jam 3 sore.","Today's meeting changed to 3 p.m.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Useful for understanding schedule changes.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0038","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Time comprehension","Break / lunch","昼休みは12時から1時までです。","ひるやすみはじゅうにじからいちじまでです。","hiruyasumi wa juni-ji kara ichi-ji made desu","Istirahat siang dari jam 12 sampai jam 1.","Lunch break is from 12 to 1.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Reinforces time ranges used in schedules and announcements.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0039","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Place comprehension","Meeting place","明日の朝、入口の前に集まってください。","あしたのあさ、いりぐちのまえにあつまってください。","ashita no asa, iriguchi no mae ni atsumatte kudasai","Besok pagi berkumpul di depan pintu masuk.","Tomorrow morning, please gather in front of the entrance.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Trains time plus place comprehension.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0040","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Announcement comprehension","Public facility","図書館は今日は5時に閉まります。","としょかんはきょうはごじにしまります。","toshokan wa kyo wa goji ni shimarimasu","Perpustakaan hari ini tutup jam 5.","The library closes at 5 today.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Public-facility listening pattern that can generalize later.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0041","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Safety reminder","Workplace / public safety","床がぬれています。ゆっくり歩いてください。","ゆかがぬれています。ゆっくりあるいてください。","yuka ga nurete imasu. yukkuri aruite kudasai","Lantainya basah. Jalanlah pelan-pelan.","The floor is wet. Please walk slowly.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Practical safety reminder for workplaces and public buildings.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0042","Listening-ready","JFT-Basic / SSW work-life","Listening Comprehension","Announcement / lost item","Public place","かばんを忘れた人は受付に来てください。","かばんをわすれたひとはうけつけにきてください。","kaban o wasureta hito wa uketsuke ni kite kudasai","Orang yang lupa tas, silakan datang ke resepsionis.","The person who forgot a bag, please come to reception.","N/A - listening-ready card","N/A - listening-ready card","Target sentence is the audio-ready example.","Covers simple public-place announcement comprehension.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0043","Kanji / Sign Reading","JFT-Basic / SSW work-life","Reading Comprehension","Sign reading","Safety / workplace sign","安全第一","あんぜんだいいち","anzen daiichi","keselamatan nomor satu","safety first","N/A - sign reading card","N/A - sign reading card","工場の入口に「安全第一」とあります。","Common-style safety slogan; review should ensure it stays as sign-reading support, not copied signage.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0044","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Information search","Shift / schedule","Notice/table text: シフト表: 月曜日 9:00-17:00, 火曜日 休み","シフトひょう: げつようび くじからごじまで, かようび やすみ","shifuto-hyo: getsuyobi kuji kara goji made, kayobi yasumi","Jadwal shift: Senin 9:00-17:00, Selasa libur.","Shift schedule: Monday 9:00-17:00, Tuesday off.","Pertanyaan: Pada hari Senin, shift mulai jam berapa?","Question: On Monday, what time does the shift start?","Expected answer: 9:00.","Learner scans the tiny schedule to find the start time, not only the meaning.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0045","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Information search","Housing / trash rules","Notice text: ごみの日: もえるごみ 火曜日・金曜日","ごみのひ: もえるごみ かようび・きんようび","gomi no hi: moeru gomi kayobi, kinyobi","Hari sampah: sampah terbakar Selasa dan Jumat.","Trash day: burnable trash Tuesday and Friday.","Pertanyaan: Sampah terbakar dibuang pada hari apa?","Question: What days are burnable trash days?","Expected answer: 火曜日と金曜日, Tuesday and Friday.","Learner finds specific days from a daily-life notice.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0046","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Information search","Health / medicine","Notice text: 薬: 朝と夜に飲む","くすり: あさとよるにのむ","kusuri: asa to yoru ni nomu","Obat: diminum pagi dan malam.","Medicine: take in the morning and at night.","Pertanyaan: Kapan obat ini diminum?","Question: When should this medicine be taken?","Expected answer: 朝と夜, morning and night.","Learner finds medicine timing from a short health note.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0047","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Information search","City office / hours","Notice text: 市役所: 9:00-17:00","しやくしょ: くじからごじまで","shiyakusho: kuji kara goji made","Kantor kota: 9:00-17:00.","City office: 9:00-17:00.","Pertanyaan: Kantor kota buka sampai jam berapa?","Question: Until what time is the city office open?","Expected answer: 17:00.","Learner finds closing time from a public-service notice.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0048","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Short notice reading","Housing / dormitory","Notice text: 寮では夜10時から静かにしてください。","りょうではよるじゅうじからしずかにしてください。","ryo dewa yoru juji kara shizuka ni shite kudasai","Di asrama, harap tenang mulai jam 10 malam.","In the dorm, please be quiet from 10 p.m.","Pertanyaan: Mulai jam berapa harus tenang di asrama?","Question: From what time should people be quiet in the dorm?","Expected answer: 夜10時, 10 p.m.","Learner finds the key rule and start time from a dorm notice.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0049","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Short notice reading","Transport / delay","Notice text: バスは雨のため10分遅れます。","バスはあめのためじゅっぷんおくれます。","basu wa ame no tame juppun okuremasu","Bus terlambat 10 menit karena hujan.","The bus will be 10 minutes late because of rain.","Pertanyaan: Bus terlambat berapa menit?","Question: How many minutes late is the bus?","Expected answer: 10分, 10 minutes.","Learner finds delay length from a transport notice and can use it for lateness reporting.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0050","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Information search","Documents / onboarding","Notice/list text: 持ち物: 在留カード、パスポート","もちもの: ざいりゅうカード、パスポート","mochimono: zairyu kaado, pasupoto","Yang harus dibawa: kartu izin tinggal, paspor.","Things to bring: residence card, passport.","Pertanyaan: Dokumen apa yang harus dibawa?","Question: What documents should you bring?","Expected answer: 在留カードとパスポート, residence card and passport.","Learner scans a short required-items list for onboarding or office tasks.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0051","Kanji / Sign Reading","JFT-Basic / SSW work-life","Reading Comprehension","Sign reading","Public/workplace restriction","立入禁止","たちいりきんし","tachiiri kinshi","dilarang masuk","no entry","N/A - sign reading card","N/A - sign reading card","ここは立入禁止です。","Important prohibition sign for safety and restricted areas.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0052","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Information search","Appointment / date-time","Notice text: 面談: 6月5日 14:00","めんだん: ろくがついつか じゅうよじ","mendan: rokugatsu itsuka, juyoji","Pertemuan/wawancara: 5 Juni jam 14:00.","Meeting/interview: June 5 at 14:00.","Pertanyaan: 面談はいつですか。Tanggal dan jam berapa?","Question: When is the meeting/interview? Give the date and time.","Expected answer: 6月5日 14:00, June 5 at 14:00.","Learner finds date and time from a compact appointment note.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0053","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Workplace note reading","Workplace / location","Notice text: 今日の作業場所: A倉庫","きょうのさぎょうばしょ: エーそうこ","kyo no sagyo basho: ei soko","Tempat kerja hari ini: Gudang A.","Today's work location: Warehouse A.","Pertanyaan: Tempat kerja hari ini di mana?","Question: Where is today's work location?","Expected answer: A倉庫, Warehouse A.","Learner finds a work location from a short workplace note.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0054","Information-search mini card","JFT-Basic / SSW work-life","Reading Comprehension","Posted rule reading","Break room / cleaning","Notice text: 休憩室のそうじは金曜日です。","きゅうけいしつのそうじはきんようびです。","kyukeishitsu no soji wa kinyobi desu","Pembersihan ruang istirahat adalah hari Jumat.","Cleaning the break room is on Friday.","Pertanyaan: 休憩室のそうじは何曜日ですか。Hari apa ruang istirahat dibersihkan?","Question: What day is break-room cleaning?","Expected answer: 金曜日, Friday.","Learner finds the required day from a posted workplace rule.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0055","Production","JFT-Basic / SSW work-life","Conversation and Expression","Reporting problem","Workplace equipment","機械が止まりました。確認をお願いします。","きかいがとまりました。かくにんをおねがいします。","kikai ga tomarimashita. kakunin o onegai shimasu","Mesin berhenti. Mohon diperiksa.","The machine stopped. Please check it.","Laporkan mesin berhenti dan minta dicek.","Report that the machine stopped and ask for it to be checked.","すみません、機械が止まりました。","Safety and production issue that needs quick reporting.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
